comment_id,comment
337,Legend Says She Still Hosts Bys Spending Many Night With Planner 🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣
338,দেশের জন্য হাইস্যকর😆
339,"Hahahaha ei host kotha theke english sikhechhe😹😹😹
!!!  It is So funny to hearing her   English 🙊🙊!!!!"
340,"TahSeeNation brother! 😍😍
u r the best!
i like ur confidence.
Apni durbin soho koekta short film, n kisu song produced koresen.
U r really so smart! 
please vai apni chinema produce koren.
 valo maner chinema banan!!"
341,ভাইয়া  ভাল্লাগছে রোস্টিংটা মজাদার হইছে
342,How you look like এ আ হু😄😁😭
343,"Hello vaiya, রোবট এর বুদ্ধিমত্তা দেখার জন্য ও তাকে ভাত খাওয়ার প্রশ্ন টি করা যেতেই পারে. if it was smart enough then it could have the ability to reply like this "" no i am a robot and i don't eat anything "" কিন্তু রোবট টি যথেষ্ট পরিমাণ intelligent না হওয়ার জন্যই উত্তর দিতে পারে নি। এটা আমার মনে হয় :)"
344,what is love !tahseenation system hangggggg!!!!!!
345,Apni ki married
346,এমন ফালতু ফালতু ব্যাবস্থাপনার কারনেই দেশের সুনাম নষ্ট হচ্ছে। আর কত? বাংগালীদের মাথা কবে খুলবে?? আল্লাহ আমাদের হেদায়েত দাও আমিন।
347,"BANGLADESH KHAET SILO, ASE, THAKBE."
348,Hahaha 🤣🤣🤣
349,TahseeNation is the great
350,Vai apni eto joss kn
351,You always do things that makes scence unlike other youtubers they don't make any scence
352,The first time I saw you I hated you but now you are my favorite youtuber
353,sei moja pelam bossssssssssssssss
354,গ্রেড জব ব্রো😎😎😎
355,"অনেক ভালো লাগল😊
এই বিষয় টা কি কর্তৃপক্ষের নজরে পরে না!! 😒😒"
356,বাংলা কুত্তা ইংলিশ মারে
357,How you like eh!  😂best
358,😂😂😂😂
359,💯
360,Vaia...YouTube a video er pashapashi comments pori....but Vaia apnar videos gula dekhar shomoy comments pori na....just apnake dekhi.....👌👍
361,"সত্যিই ধন্যবাদ জানাই, এই রকমের একটি উদ্দেশ্য কাজ করার জন্য, দোয়া করি যেনো আপনার মানুষিক অবস্থা ভালো থাকে আরও বহুদিন।"
362,Tahseenation I love u man.
363,"suppppppeeeeeeerrtrrrrrr bosssss,,,

apnar rosting gulo atto moja laage ...
unlimited love for u..."
364,আফসোস একটা রোবট আসলো তারে ম্যাথ নিয়ে একটা প্রশ্নও করলনা করছে সব আজাইরা প্রশ্ন
365,So fany
366,Chutmarani host...
367,Kool brother
368,Bro after listaning  her english i also forgot to talk in english
369,It's a really stupidity 🤣🤣🤣😭
370,অসাধারন ✌✌✌
371,😂😂😂😂wtf...
372,"ব্রো,,ফাটাই দিছেন :*😄😄😄😄😄"
373,Vai eta to roast video...then pichone agun koi X)
374,"vai apnar roast ar sadh khub,,,,vai......"
375,2.0
376,Tik tok niya akta episode please vai
377,"2nd host ta othr chlw. ... 
Roasted...."
378,Allah amare loiya jagga Bangladeshi polara robot er upor crush khaay😂😂😂
379,Ossam
380,"তুমি অসাধারণ একটা জিনিস, আমার বয়সে ছোট তাই তুমি বললাম, অনেক ধন্যবাদ ও শুভেচ্ছা........  এগিয়ে জাও ভাইয়া"
381,ভাই অাপনার ভিডিও গুলি দেখে অনেক মজা লাগে
382,Hasi just thama tei parlm na...
383,😂😂😂😂
384,ami haste haste sesh
385,Bhaiya class 8 9 er student o er theke bhalo question korte parbe..
386,Good job system hang koira diche-best chilo
387,Robot hang hoya gese.....moja paisi...😂😂😂😂😂😂
388,you r the boss😍💜
389,"Hahahahaha.
Bhai moja pailam"
390,Apnar kotha thikase .Tobe  sofia ke oi prosno kora hoise oke prosno kora hoise
391,😂😂😂
392,Love u bro....go ahead..
393,Sofia 😍😍
394,Bd & ind host & reporter are worst & brainless
395,I love u cause  u roasted so sweetly
396,If u teach English in Bangladesh some English academic 😁😂😂then that's kind of people  made😀😀😀
397,"For this people we had some problems on others devolved country.
Thay Don't know when or where can say what. Shame on them. They're like a uneducated person."
398,★★♥♥
399,ha ha ha ha...shei moja pailam
400,Vai moja paisi..video joss
401,vi amari lojja lagtese
402,5:56 where? 😱😵
403,just awesome
404,"Tahsin vai, You are the best."
405,Hair on your head or hair on your........hahahhahaha
406,Ato resource. .r ato right kotha. .u r grt
407,"আমার একবার ভিশন শীত করছিলো, তাই আমি মাইক্রো ওভেনে হাত ডুকাইয়া রাখসিলাম!! 
এরপর মনে হলো আমি এই দুনিয়ার সবচাইতে বেকুব মানুষ৷!!! 

কিন্তু না ""we have a new champion now"""
408,Ei beti love chara r kichu Jane na mone hoy. Chatro league r dada der sathe raat katale onek kichur host howa jay.
409,Sofia re question kore kore strock korai dilo..
410,where is the fire on your background.broo....😂
411,"brother, recently i have started watching your videos and oh my god you are doing a real good job. Keep on spreading this sort of videos, wishing you a million of wishes."
412,6:05 hair on your chest
413,রোবট তো চোখ বুঝে আর খুলে
414,Banga bangla - গানের ব্যাপারে কিছু বলবেন
415,good job...system hang korai diche
416,আন্নেরা বুঝেন ন কিল্লাই??হেতি এক্সাইটেড অই গেছিল গি😉😉
417,Ha ha ha 😂😂😂😂😂 .
418,Love you bro
419,Seriously vaiya apni ki biye korachn ..🐸
420,hmm tmi gia host korla na
421,শাহারিয়ার নাজিম জয়ের উপস্থাপনা নিয়ে কিছু বলেন। তার অনুষ্ঠানে এসেও সবাই লজ্জিত হয়।
422,yeah..
423,7rong er cha Khaichen Baber Jorme Ai proshno Kora dorkar Chilo Hahaha
424,heavy  logical speech
425,"Allah bachaice first aunty Sophia k ask koray nai,Sophia do you want sex?😏😏😏😏😏😏😏😏😏😱😱😱😗😗😗😗😗😗😗"
426,thanks
427,smart kauke question korar age nijeke smart hote hoy.
428,সোফিয়া Hang হয়ে গেছে..😂😂
429,Right
430,Very nice to meeting you 😂😂😂
431,Pichone agun koi???
432,"the boy boy said Comilla victorians day , that's why she was laughing..."
433,tnx vai...
434,Vai Sophia dhora khaia gese🤣🤣
435,Eta joss chilo 😂😂😂
436,System Hang করে দিছে..😂😂😂😂
437,"Vi re. ....................

Roast onk jhal"
438,"ভাই এটা তোমাত best ছিল,,,"
439,This one is too good!!!! 😂😂😂😂
440,"হা হা রিয়েক্ট দেওয়া গেলে ভাল্লাগতো..... 🤣
বেচারি সোফিয়া... 😅"
441,hmm
442,তারছিড়া মহিলা
443,Kon khela theke kon khela @TanseeNation 😂👏
444,:D
445,Sophia hang hoye gelo re
