comment_id,comment
126,"পানির কালার দেখে বোঝা যাচ্ছে, কতটা পরিবর্তন এসেছে।"
127,https://youtu.be/c1iLB-dXGr8
128,"এই নিউজটা বারবার দেখতে ইচ্ছে করছে,দশবার দেখেছি এই পর্যন্ত।"
129,আমার সামনে আসলে ই দেখি
130,আমি আনলিমিটেড
131,murshed alam same me
132,দুষন কমাতে পারলে হয়তো আমরা এ দৃষ্য নিজ চোখে দেখতে পাব।
133,https://youtu.be/c1iLB-dXGr8
134,হতে পারে বিশ্বের অন্যতম পর্যটন কেন্দ্র কক্সবাজার ❤
135,https://youtu.be/c1iLB-dXGr8
136,শুধু মাত্র এই চ্যানেল এই কমেন্ট করসে ৪৭০টা বুঝেন তাইলে কি অবস্থা 😡
137,@Faysal Ahmed হুম ঠিক বলছেন
138,এই মেয়ে তুমি কে??? বাংলাদেশের সব ইউটিউব ভিডিও তে তোমার কমেন্ট দেখি কারন কি??? তুমি কি সারাদিন বসে বসে কমেন্ট করো নাকি??? 😡
139,সবাই শুধু দখল করতে আসে!
140,https://youtu.be/Jm5QUDof_f0
141,বাঙালি জাতি তোমার হোগা মারা সারা 😂
142,"*যৌক্তি গুলো সঠিক মনে হলো*
মশার মাধ্যমে ছড়াতে পারে করোনা ভাইরাস। বিস্তারিত দেখুন👇
👉https://youtu.be/hsWrZ6F3v4k"
143,Amra je koto omanush hoia gesi ai dolphin guli aj amader mone korai dilo..ora manush bhoy pay na ora bhoy pay amader moto omanush guli keh
144,"দুই দিনেই চলে এল ডলফিন, আর কিছুদিন গেলে ডাইনোসর ও ফিরে আসবে।"
145,😂😂😂😂😂😂😂😂
146,R8
147,@minhaz chowdhury 😂😂
148,@canadian information Ki bolen Vai insha'Allah Corona tekhe bachar por dinasor hate morar icca naki apner 😂
149,🙄
150,মাশআল্লাহ খুব সুন্দর । আমরা একটু সচেতন হলে এরকম দৃশ্য সবসময় দেখতে পারতাম
151,@Khadija Rifat ডলফিন খতিয়ে করে না । মানুষ খতি করে
152,Acha ata kora ki vlo hoisa na krp bujtasina...Ora Jodi amdr kono khoti kore
153,https://youtu.be/c1iLB-dXGr8
154,"হইছে,আপনাদের এত নিউজ করতে হবে না,
আপনাদের নিউজ দেইখা বাঙালি আবার ডলফিন দেখতে কক্সবাজারের দিকে ছুটবে!"
155,Thik vaia.
156,Vai apni akdom tik katha balsen🤣🤣🤣🤣🤣🤣
157,ভাই একদম ঠিক কইসেন
158,😂😂😂 bangali bola kotah
159,Hahaha...🤣🤣🤣sotti bolsen bhaiya
160,"চেয়ারম্যান ও মেম্বারের হাতে চাউল, আলু, ও ডাল না দিয়ে ,,
 সেনাবাহিনী ও বিজিবি দিয়ে গ্রামে গ্রামে বিতরণ করা হোক"
161,https://youtu.be/c1iLB-dXGr8
162,Thanks
163,রাইট
164,"Wow....
Beautiful. ...."
165,ওরও
166,দাজ্জালের বাহন
167,"দুবাইয়ে চলবে।
অনেক আগেই দুবাই টু আবুধাবিতে লাইন শুরু করলো।"
168,Emon vane highlights kortese mone hoscce Bangladesh e discover korse.
169,"ELON MUSK akn theke ""Alone
 Musk""""..."
170,তা এই বাশাল্ডা বাংলাদেশে কবে চালু হবে?
171,এটা কি বাঁশ দিয়ে বানানো যাবে
172,বাংলাদেশে আসেনাই
173,আমাদের এই সব দেখা লাভ কি ভাই .আমাদের দেশে এই সব কবে হবে .আমাদের দেশ তো দুর্নীতিতে নবেল বিজয়ী .আমার বয়স তো 16 আমি যখন   মারা যাব আমার ছেলে বা মেযের যখন 60 বছর বয়স হবে তখন মনে হয় এই সব তৈরির শপনো দেখবে বাংলাদেশ
174,"সবকিছুই আসে বাংলাদেশে.
অথচ আজ পর্যন্ত কোন বালও আসে নাই"
175,Ato kom manush jabe?
176,MAD ELON MAX
177,থাক ভাই... মেট্রো রেলের স্বপ্ন দেখেন... যা দেখলেন ভুলে যান 😪
178,ভাই এই ট্রেন একদিন বাংলাদেশে আসবে সেটা হোক কয়েক হাজার বছর পর কিন্তু সন্দেহ হয় তখন কি বাংলাদেশে বাশ থাকবে নাকি বাশ গুলো সব ব্রিজের কাজে ব্যবহার হয়ে যাবে।
179,ভাই ট্রেনটিকে ঠেলে নিয়ে যাওয়ার জন্য কয়জন লোকের প্রয়োজন হবে
