comment_id,comment
11127,"আগের সময়ের গজব শুধু মুখেই শুনছি।
এবার নিজের চোখে দেখলাম। 😭😭"
11128,Bangladesh e Kukur ar Australiay  Badur...
11129,"বাংলাদেশটাকে আল্লাহ রখখা করুন,,,আমিন"
11130,চিনে রপ্তানি করে দেন। অনেক বৈদেশিক মুদ্রার সাথে জনগনও সস্তি পাবে।
11131,Jotto bedhormi dese Allahor gojob  Allah Amader moslim der rokkha korben  bat  tomader k...
11132,চীনের লোকেদের খবর দেওয়ার কোথা শুনলে বাদুড় নিজে থেকে পালাবে 😌
11133,এই বাদুর গুলোকে চায়না পাঠানো হোক । খেয়ে শেষ করে দিবে।
11134,😷😷😷
11135,কম্পিউটার  সেখাই দেখতে পারেন
11136,Ctach and send to china
11137,"Australia-তে এসব কি শুরু হলো??? দুর্যোগ যেন পিছু ছাড়ছেনা দেশটির....
😨😨😨"
11138,আমাদের চ্যানেলটি ঘুরে আসার আমন্ত্রণ রইল।
11139,Bangladesh er manush bhabe duniyar shobar upor gojob portese r era alhamdulillah for everything. Stupid Manush Jon. Nijeder paper chinta kor.
11140,আল্লাহর গজব
11141,"This may be next target of CoVD-19, Corona Virus"
11142,Those are from wild fire...
11143,ولله جنود السماوات والارض
11144,Stay safe Australia!
11145,এদের উপর আল্লাহ এর গজব হচ্ছে
11146,"বাদুড় সংরক্ষণের কথা বলা হয়েছে। উঠ মারলে সমস্যা নাই, এজন্যই তো এই অবস্থা"
11147,উটের জন্য কান্না কেন ? আরবে বেশি পাওয়া যায় বলে ?  হলে উট কি কালেমা পড়ে মুসলমান হয় ?
11148,3
11149,😜😜😜😜
11150,গুলি শেষ
11151,Amader desher bador bilupti aj.
11152,কেয়ামত এর লক্ষ্মণ।।।
11153,allah mosolmander onk hafajot er raksan alhamdulillah
11154,আল্লাহকে ভয় করুন আল্লাহ মহান তার সৃষ্টির বিশাল নৈপুণ্য দেখলে প্রাণটা জুড়িয়ে যায়
11155,Dracula is that you?
11156,"মহান রাব্বুল আলামিনের ধৈর্য, শক্তি, ক্ষমতা ও ক্রোধ সম্পর্কে
সৃষ্টজীবের কারো কল্পনাতেও নেই ।
নিশ্চয় তিনি সর্ববিষয়ে ক্ষমতাবান 
কেবল জ্ঞানীরাই চিন্তা করে ।"
11157,এগুলা চিনে পাটাই দিলে ভাল হবে ওরা খেয়েপেলবে
11158,আল্লাহর গজব শুরু হয়েছে
11159,Me a very simple man: Calling Batman to take his folks away... 🙂
11160,Hollywood movies
